> chr1:713815, 713855
0.000000, -0.560000
> chr1:713816, 713856
0.000000, -0.560000
> chr1:713817, 713857
0.000000, -0.520000
> chr1:713818, 713858
0.000000, -0.510000
> chr1:713819, 713859
0.000000, -0.410000
> chr1:713820, 713860
0.000000, -0.410000
> chr1:713821, 713861
0.000000, -0.420000
> chr1:713822, 713862
0.000000, -0.530000
> chr1:713823, 713863
0.000000, -0.770000
> chr1:713824, 713864
0.000000, -0.940000
> chr1:713825, 713865
0.000000, -0.990000
> chr1:713826, 713866
0.000000, -0.900000
> chr1:713827, 713867
0.000000, -0.820000
> chr1:713828, 713868
0.000000, -0.830000
> chr1:713829, 713869
0.000000, -0.780000
> chr1:713830, 713870
0.000000, -0.780000
> chr1:713831, 713871
0.000000, -0.780000
> chr1:713832, 713872
0.000000, -0.800000
> chr1:713833, 713873
0.000000, -0.810000
> chr1:713834, 713874
0.000000, -0.820000
> chr1:713835, 713875
0.000000, -0.810000
> chr1:713836, 713876
0.000000, -0.810000
> chr1:713837, 713877
0.000000, -0.810000
> chr1:713838, 713878
0.000000, -0.880000
> chr1:713839, 713879
-0.900000, -1.500000
> chr1:713840, 713880
-1.200000, -1.660000
> chr1:713841, 713881
-1.200000, -1.660000
> chr1:713842, 713882
-1.200000, -1.660000
> chr1:713843, 713883
-1.200000, -1.660000
> chr1:713844, 713884
-1.200000, -1.650000
> chr1:713846, 713886
-1.200000, -1.640000
> chr1:713847, 713887
-1.200000, -1.650000
> chr1:713848, 713888
-1.200000, -1.700000
> chr1:713849, 713889
-1.200000, -2.090000
> chr1:713850, 713890
-1.500000, -2.170000
> chr1:713851, 713891
-1.500000, -2.120000
> chr1:713852, 713892
-1.500000, -2.110000
> chr1:713853, 713893
-1.500000, -2.100000
> chr1:713854, 713894
-1.500000, -2.100000
> chr1:713855, 713895
-1.500000, -2.100000
> chr1:713856, 713896
-1.500000, -2.100000
> chr1:713857, 713897
-1.500000, -2.090000
> chr1:713858, 713898
-1.500000, -2.100000
> chr1:713859, 713899
-1.500000, -2.140000
> chr1:713860, 713900
-1.500000, -2.070000
> chr1:713861, 713901
-1.500000, -2.040000
> chr1:713862, 713902
-1.500000, -2.190000
> chr1:713863, 713903
-1.500000, -2.320000
> chr1:713864, 713904
-1.500000, -2.320000
> chr1:713865, 713905
-1.500000, -2.320000
> chr1:713866, 713906
-1.500000, -2.320000
> chr1:713867, 713907
-1.500000, -2.310000
> chr1:713868, 713908
-1.500000, -2.310000
> chr1:713869, 713909
-1.500000, -2.310000
> chr1:713870, 713910
-1.500000, -2.310000
> chr1:713871, 713911
-1.500000, -2.340000
> chr1:713872, 713912
-1.400000, -2.320000
> chr1:713873, 713913
-1.200000, -2.190000
> chr1:713874, 713914
-1.200000, -2.470000
> chr1:713875, 713915
-1.200000, -2.150000
> chr1:713876, 713916
-1.200000, -2.130000
> chr1:713877, 713917
-1.200000, -2.120000
> chr1:713878, 713918
-1.200000, -2.090000
> chr1:713879, 713919
-1.200000, -2.130000
> chr1:713880, 713920
-1.200000, -2.160000
> chr1:713881, 713921
-1.200000, -2.250000
> chr1:713882, 713922
-1.200000, -2.430000
> chr1:713883, 713923
-1.200000, -2.460000
> chr1:713884, 713924
-1.200000, -2.490000
> chr1:713885, 713925
-1.200000, -2.490000
> chr1:713886, 713926
-0.700000, -2.190000
> chr1:713887, 713927
-0.500000, -1.850000
> chr1:713888, 713928
-0.500000, -1.370000
> chr1:713889, 713929
-0.500000, -1.360000
> chr1:713890, 713930
-0.500000, -1.350000
> chr1:713891, 713931
-0.500000, -1.340000
> chr1:713892, 713932
-0.500000, -1.340000
> chr1:713893, 713933
-0.500000, -1.320000
> chr1:713894, 713934
-0.500000, -1.310000
> chr1:713895, 713935
-0.200000, -1.310000
> chr1:713896, 713936
-1.400000, -1.790000
> chr1:713897, 713937
-1.400000, -1.760000
> chr1:713898, 713938
-1.400000, -1.750000
> chr1:713899, 713939
0.000000, -0.770000
> chr1:713900, 713940
0.000000, -0.760000
> chr1:713901, 713941
0.000000, -0.630000
> chr1:713902, 713942
0.000000, -0.510000
> chr1:713903, 713943
0.000000, -0.490000
> chr1:713904, 713944
0.000000, -0.490000
> chr1:713905, 713945
0.000000, -0.480000
> chr1:713906, 713946
0.000000, -0.470000
> chr1:713907, 713947
0.000000, -0.510000
> chr1:713908, 713948
0.000000, -0.540000
> chr1:713909, 713949
0.000000, -0.540000
> chr1:713910, 713950
0.000000, -0.550000
> chr1:713911, 713951
0.000000, -0.580000
> chr1:713912, 713952
0.000000, -0.400000
> chr1:713913, 713953
0.000000, -0.180000
> chr1:713914, 713954
0.000000, -0.350000
